Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
DLC1		8p22	HOMDEL	4	509	0.8%	No
BASP1		5p15.1	AMP	4	509	0.8%	No
NCOA2		8q13.3	AMP	4	509	0.8%	Yes
ARFGEF1		8q13.2	AMP	4	509	0.8%	No
SH2B2		7q22.1	AMP	4	509	0.8%	No
KHDRBS3		8q24.23	AMP	4	509	0.8%	No
DCTN6		8p12	HOMDEL	4	509	0.8%	No
ADAM28		8p21.2	HOMDEL	4	509	0.8%	No
POP1		8q22.2	AMP	4	509	0.8%	No
COPS5		8q13.1	AMP	4	509	0.8%	No
RBPMS		8p12	HOMDEL	4	509	0.8%	No
TENT4A		5p15.31	AMP	4	509	0.8%	No
STMN2		8q21.13	AMP	4	509	0.8%	No
PTP4A3		8q24.3	AMP	4	509	0.8%	No
LZTS1		8p21.3	HOMDEL	4	509	0.8%	No
PLCH1		3q25.31	AMP	4	509	0.8%	No
XPO7		8p21.3	HOMDEL	4	509	0.8%	No
EFR3A		8q24.22	AMP	4	509	0.8%	No
FBXL7		5p15.1	AMP	4	509	0.8%	No
SULF1		8q13.2-q13.3	AMP	4	509	0.8%	No
RHOBTB2		8p21.3	HOMDEL	4	509	0.8%	No
ARC		8q24.3	AMP	4	509	0.8%	No
KIF13B		8p12	HOMDEL	4	509	0.8%	No
SATB2		2q33.1	AMP	4	509	0.8%	No
ICE1		5p15.32	AMP	4	509	0.8%	No
SF3B1		2q33.1	AMP	4	509	0.8%	Yes
HEY1		8q21.13	AMP	4	509	0.8%	Yes
TRAM1		8q13.3	AMP	4	509	0.8%	No
LEPROTL1		8p12	HOMDEL	4	509	0.8%	No
SLC39A14		8p21.3	HOMDEL	4	509	0.8%	No
LY96		8q21.11	AMP	4	509	0.8%	No
TMEFF2		2q32.3	AMP	4	509	0.8%	No
SGK3		8q13.1	AMP	4	509	0.8%	No
MOB4		2q33.1	AMP	4	509	0.8%	No
SPATS2L		2q33.1	AMP	4	509	0.8%	No
PTTG3P		8q13.1	AMP	4	509	0.8%	No
FBXO25		8p23.3	HOMDEL	4	509	0.8%	No
HIBCH		2q32.2	AMP	4	509	0.8%	No
FGF20		8p22	HOMDEL	4	509	0.8%	No
PCOLCE2		3q23	AMP	4	509	0.8%	No
STAU2		8q21.11	AMP	4	509	0.8%	No
TSPAN13		7p21.1	AMP	4	509	0.8%	No
ADAMDEC1		8p21.2	HOMDEL	4	509	0.8%	No
MRPS28		8q21.13	AMP	4	509	0.8%	No
BZW2		7p21.1	AMP	4	509	0.8%	No
CNOT7		8p22	HOMDEL	4	509	0.8%	No
LRP12		8q22.3	AMP	4	509	0.8%	No
PI15		8q21.13	AMP	4	509	0.8%	No
ZC2HC1A		8q21.13	AMP	4	509	0.8%	No
LACTB2		8q13.3	AMP	4	509	0.8%	No
ZDHHC2		8p22	HOMDEL	4	509	0.8%	No
SLC25A37		8p21.2	HOMDEL	4	509	0.8%	No
PRKAG2		7q36.1	AMP	4	509	0.8%	No
SCARA3		8p21.1	HOMDEL	4	509	0.8%	No
SARAF		8p12	HOMDEL	4	509	0.8%	No
ERAP1		5q15	AMP	4	509	0.8%	No
PPIL3		2q33.1	AMP	4	509	0.8%	No
GDAP1		8q21.11	AMP	4	509	0.8%	No
RETREG1		5p15.1	AMP	4	509	0.8%	No
XRN1		3q23	AMP	4	509	0.8%	No
OTULINL		5p15.2	AMP	4	509	0.8%	No
KCTD9		8p21.2	HOMDEL	4	509	0.8%	No
NSUN2		5p15.31	AMP	4	509	0.8%	No
TMEM70		8q21.11	AMP	4	509	0.8%	No
PIWIL2		8p21.3	HOMDEL	4	509	0.8%	No
ELP3		8p21.1	HOMDEL	4	509	0.8%	No
THAP1		8p11.21	HOMDEL	4	509	0.8%	No
MRPS18A		6p21.1	AMP	4	509	0.8%	No
INTS10		8p21.3	HOMDEL	4	509	0.8%	No
CCDC25		8p21.1	HOMDEL	4	509	0.8%	No
UBE2W		8q21.11	AMP	4	509	0.8%	No
INTS9		8p21.1	HOMDEL	4	509	0.8%	No
RIOK2		5q15	AMP	4	509	0.8%	No
CSGALNACT1		8p21.3	HOMDEL	4	509	0.8%	No
HR		8p21.3	HOMDEL	4	509	0.8%	No
PAG1		8q21.13	AMP	4	509	0.8%	Yes
PBK		8p21.1	HOMDEL	4	509	0.8%	No
ZNF395		8p21.1	HOMDEL	4	509	0.8%	No
BIN3		8p21.3	HOMDEL	4	509	0.8%	No
DNAH7		2q32.3	AMP	4	509	0.8%	No
ANKH		5p15.2	AMP	4	509	0.8%	No
C8ORF44		8q13.1	AMP	4	509	0.8%	No
JPH1		8q21.11	AMP	4	509	0.8%	No
ANKMY2		7p21.1	AMP	4	509	0.8%	No
CPA6		8q13.2	AMP	4	509	0.8%	No
SMURF1		7q22.1	AMP	4	509	0.8%	No
ACTR3B		7q36.1-q36.2	AMP	4	509	0.8%	No
SLC39A10		2q32.3	AMP	4	509	0.8%	No
HECW2		2q32.3	AMP	4	509	0.8%	No
ARRDC3		5q14.3	AMP	4	509	0.8%	No
TRMT9B		8p22	HOMDEL	4	509	0.8%	No
CCAR2		8p21.3	HOMDEL	4	509	0.8%	No
KMT2C		7q36.1	AMP	4	509	0.8%	Yes
NIF3L1		2q33.1	AMP	4	509	0.8%	No
SH2D4A		8p21.3	HOMDEL	4	509	0.8%	No
GALNT11		7q36.1|7q36.1	AMP	4	509	0.8%	No
DMRTA1		9p21.3	HOMDEL	4	509	0.8%	No
PRDM14		8q13.3	AMP	4	509	0.8%	Yes
PCGEM1		2q32.3	AMP	4	509	0.8%	No
ERAP2		5q15	AMP	4	509	0.8%	No
PDLIM2		8p21.3	HOMDEL	4	509	0.8%	No
LMBR1		7q36.3	AMP	4	509	0.8%	No
LINC00244		7q36.3	AMP	4	509	0.8%	No
NOM1		7q36.3	AMP	4	509	0.8%	No
EBF2		8p21.2	HOMDEL	4	509	0.8%	No
FAM160B2		8p21.3	HOMDEL	4	509	0.8%	No
NABP1		2q32.3	AMP	4	509	0.8%	No
CFLAR-AS1		2q33.1	AMP	4	509	0.8%	No
ZBTB10		8q21.13	AMP	4	509	0.8%	No
BOLL		2q33.1	AMP	4	509	0.8%	No
MAIP1		2q33.1	AMP	4	509	0.8%	No
HMBOX1		8p21.1-p12	HOMDEL	4	509	0.8%	No
ZFAND1		8q21.13	AMP	4	509	0.8%	No
MCTP1		5q15	AMP	4	509	0.8%	No
ZFHX4		8q21.13	AMP	4	509	0.8%	No
NIPAL2		8q22.2	AMP	4	509	0.8%	No
CSPP1		8q13.1-q13.2	AMP	4	509	0.8%	No
BAALC		8q22.3	AMP	4	509	0.8%	No
NUDT18		8p21.3	HOMDEL	4	509	0.8%	No
DOCK5		8p21.2	HOMDEL	4	509	0.8%	No
PGAP1		2q33.1	AMP	4	509	0.8%	No
BIN3-IT1		8p21.3	HOMDEL	4	509	0.8%	No
VCPIP1		8q13.1	AMP	4	509	0.8%	No
COQ10B		2q33.1	AMP	4	509	0.8%	No
PREX2		8q13.2	AMP	4	509	0.8%	Yes
REEP4		8p21.3	HOMDEL	4	509	0.8%	No
RNF170		8p11.21	HOMDEL	4	509	0.8%	No
SLCO5A1		8q13.3	AMP	4	509	0.8%	No
CRISPLD1		8q21.13	AMP	4	509	0.8%	No
TRAPPC9		8q24.3	AMP	4	509	0.8%	No
FAM172A		5q15	AMP	4	509	0.8%	No
ADGRV1		5q14.3	AMP	4	509	0.8%	No
POMK		8p11.21	HOMDEL	4	509	0.8%	No
MED10		5p15.31	AMP	4	509	0.8%	No
SLF1		5q15	AMP	4	509	0.8%	No
C2ORF88		2q32.2	AMP	4	509	0.8%	No
HOOK3		8p11.21	HOMDEL	4	509	0.8%	Yes
TRIM55		8q13.1	AMP	4	509	0.8%	No
LRRCC1		8q21.2	AMP	4	509	0.8%	No
DNAJC5B		8q13.1	AMP	4	509	0.8%	No
OTULIN		5p15.2	AMP	4	509	0.8%	No
ZNF622		5p15.1	AMP	4	509	0.8%	No
ANKRD44		2q33.1	AMP	4	509	0.8%	No
LONRF1		8p23.1	HOMDEL	4	509	0.8%	No
CHMP7		8p21.3	HOMDEL	4	509	0.8%	No
MARS2		2q33.1	AMP	4	509	0.8%	No
SMIM19		8p11.21	HOMDEL	4	509	0.8%	No
C8ORF34		8q13.2	AMP	4	509	0.8%	No
TYW5		2q33.1	AMP	4	509	0.8%	No
C7ORF13		7q36.3	AMP	4	509	0.8%	No
RFTN2		2q33.1	AMP	4	509	0.8%	No
KCTD18		2q33.1	AMP	4	509	0.8%	No
FLACC1		2q33.1	AMP	4	509	0.8%	No
UBE2QL1		5p15.31	AMP	4	509	0.8%	No
POU5F2		5q15	AMP	4	509	0.8%	No
VPS37A		8p22	HOMDEL	4	509	0.8%	No
NKX2-6		8p21.2	HOMDEL	4	509	0.8%	No
SGCZ		8p22	HOMDEL	4	509	0.8%	No
RALYL		8q21.2	AMP	4	509	0.8%	No
HGSNAT		8p11.21-p11.1	HOMDEL	4	509	0.8%	No
RNF32		7q36.3	AMP	4	509	0.8%	No
SATB2-AS1		2q33.1	AMP	4	509	0.8%	No
SGO2		2q33.1	AMP	4	509	0.8%	No
ARSK		5q15	AMP	4	509	0.8%	No
FAM81B		5q15	AMP	4	509	0.8%	No
RBM33		7q36.3	AMP	4	509	0.8%	No
AGR3		7p21.1	AMP	4	509	0.8%	No
LOC157273		8p23.1	HOMDEL	4	509	0.8%	No
PEBP4		8p21.3	HOMDEL	4	509	0.8%	No
CDCA2		8p21.2	HOMDEL	4	509	0.8%	No
RDH10		8q21.11	AMP	4	509	0.8%	No
ESCO2		8p21.1	HOMDEL	4	509	0.8%	Yes
FBXO16		8p21.1	HOMDEL	4	509	0.8%	No
FAM87A		8p23.3	HOMDEL	4	509	0.8%	No
TDRP		8p23.3	HOMDEL	4	509	0.8%	No
ERICH1		8p23.3	HOMDEL	4	509	0.8%	No
C8ORF48		8p22	HOMDEL	4	509	0.8%	No
MCMDC2		8q13.1	AMP	4	509	0.8%	No
KCNU1		8p11.23	HOMDEL	4	509	0.8%	No
SBSPON		8q21.11	AMP	4	509	0.8%	No
GALNTL5		7q36.1	AMP	4	509	0.8%	No
COL22A1		8q24.23-q24.3	AMP	4	509	0.8%	No
ZNF596		8p23.3	HOMDEL	4	509	0.8%	No
ADAMTS16		5p15.32	AMP	4	509	0.8%	No
TSNARE1		8q24.3	AMP	4	509	0.8%	No
R3HCC1		8p21.3	HOMDEL	4	509	0.8%	No
ERICH5		8q22.2	AMP	4	509	0.8%	No
LGI3		8p21.3	HOMDEL	4	509	0.8%	No
C2ORF69		2q33.1	AMP	4	509	0.8%	No
FABP5P3		7q36.1	AMP	4	509	0.8%	No
RSPH9		6p21.1	AMP	4	509	0.8%	No
LOC254896		8p21.3	HOMDEL	4	509	0.8%	No
LINC01018		5p15.31	AMP	4	509	0.8%	No
CCDC150		2q33.1	AMP	4	509	0.8%	No
FAM126B		2q33.1	AMP	4	509	0.8%	No
C3ORF33		3q25.31	AMP	4	509	0.8%	No
KIAA0825		5q15	AMP	4	509	0.8%	No
GPR150		5q15	AMP	4	509	0.8%	No
BASP1-AS1		5p15.1	AMP	4	509	0.8%	No
CNPY1		7q36.3	AMP	4	509	0.8%	No
LOC285889		7q36.3	AMP	4	509	0.8%	No
LOC286059		8p21.3	HOMDEL	4	509	0.8%	No
LOC286083		8p23.3	HOMDEL	4	509	0.8%	No
LINC01591		8q24.22	AMP	4	509	0.8%	No
MICU3		8p22	HOMDEL	4	509	0.8%	No
LINC02153		8p21.3	HOMDEL	4	509	0.8%	No
SCARA5		8p21.1	HOMDEL	4	509	0.8%	No
LINC02209		8p12	HOMDEL	4	509	0.8%	No
PPP1R42		8q13.1	AMP	4	509	0.8%	No
C8ORF34-AS1		8q13.2	AMP	4	509	0.8%	No
LACTB2-AS1		8q13.3	AMP	4	509	0.8%	No
RFESD		5q15	AMP	4	509	0.8%	No
BLACE		7q36.3	AMP	4	509	0.8%	No
LINC01020		5p15.32	AMP	4	509	0.8%	No
LOC340357		8p23.1-p22	HOMDEL	4	509	0.8%	No
POTEA		8p11.1	HOMDEL	4	509	0.8%	No
AOX2P		2q33.1	AMP	4	509	0.8%	No
SLC10A5		8q21.13	AMP	4	509	0.8%	No
FTCDNL1		2q33.1	AMP	4	509	0.8%	No
CA13		8q21.2	AMP	4	509	0.8%	No
LOC389641		8p21.3	HOMDEL	4	509	0.8%	No
NUGGC		8p21.1	HOMDEL	4	509	0.8%	No
XKR9		8q13.3	AMP	4	509	0.8%	No
MROH5		8q24.3	AMP	4	509	0.8%	No
LOC392232		8q21.11	AMP	4	509	0.8%	No
C2ORF66		2q33.1	AMP	4	509	0.8%	No
MBNL1-AS1		3q25.1	AMP	4	509	0.8%	No
LINC02145		5p15.31	AMP	4	509	0.8%	No
LINC02111		5p15.1	AMP	4	509	0.8%	No
RBIS		8q21.2	AMP	4	509	0.8%	No
KPNA7		7q22.1	AMP	4	509	0.8%	No
MARCH11		5p15.1	AMP	4	509	0.8%	No
NR2F1-AS1		5q15	AMP	4	509	0.8%	No
OR4F21		8p23.3	HOMDEL	4	509	0.8%	No
MIR2052HG		8q21.11-q21.13	AMP	4	509	0.8%	No
LOC442132		5p15.31	AMP	4	509	0.8%	No
C8ORF58		8p21.3	HOMDEL	4	509	0.8%	No
ZNF704		8q21.13	AMP	4	509	0.8%	No
ERICH1-AS1		8p23.3	HOMDEL	4	509	0.8%	No
LINC00589		8p12	HOMDEL	4	509	0.8%	No
MBOAT4		8p12	HOMDEL	4	509	0.8%	No
LINC00051		8q24.3	AMP	4	509	0.8%	No
SNHG6		8q13.1|8q13	AMP	4	509	0.8%	No
SNORD87		8q13.1	AMP	4	509	0.8%	No
RPL23AP53		8p23.3	HOMDEL	4	509	0.8%	No
MNX1-AS1		7q36.3	AMP	4	509	0.8%	No
TMEM14EP		3q25.2	AMP	4	509	0.8%	No
FABP9		8q21.13	AMP	4	509	0.8%	No
FABP12		8q21.13	AMP	4	509	0.8%	No
SPDYE6		7q22.1	AMP	4	509	0.8%	No
LINC01300		8q24.3	AMP	4	509	0.8%	No
STAU2-AS1		8q21.11	AMP	4	509	0.8%	No
RBPMS-AS1		8p12	HOMDEL	4	509	0.8%	No
LINC01003		7q36.1	AMP	4	509	0.8%	No
LOC100128993		8p22-p21.3	HOMDEL	4	509	0.8%	No
TCF24		8q13.1	AMP	4	509	0.8%	No
ARRDC3-AS1		5q14.3	AMP	4	509	0.8%	No
C8ORF89		8q21.11	AMP	4	509	0.8%	No
LOC100130452		2q33.1	AMP	4	509	0.8%	No
LOC100130744		5p15.2	AMP	4	509	0.8%	No
MSC-AS1		8q13.3-q21.11	AMP	4	509	0.8%	No
ZFHX4-AS1		8q21.13	AMP	4	509	0.8%	No
LOC100289561		7q22.1	AMP	4	509	0.8%	No
BAALC-AS1		8q22.3	AMP	4	509	0.8%	No
PRKAG2-AS1		7q36.1	AMP	4	509	0.8%	No
LINC02102		5p15.31	AMP	4	509	0.8%	No
LINC01592		8q13.2	AMP	4	509	0.8%	No
LINC01603		8q13.2	AMP	4	509	0.8%	No
LUCAT1		5q14.3	AMP	4	509	0.8%	No
LRRC72		7p21.1	AMP	4	509	0.8%	No
LINC01006		7q36.3	AMP	4	509	0.8%	No
LINC01792		2q33.1	AMP	4	509	0.8%	No
LOC100507156		8p21.3	HOMDEL	4	509	0.8%	No
DLGAP2-AS1		8p23.3	HOMDEL	4	509	0.8%	No
HSPE1-MOB4		2q33.1	AMP	4	509	0.8%	No
C8ORF44-SGK3		8q13.1	AMP	4	509	0.8%	No
C8ORF37-AS1		8q22.1	AMP	4	509	0.8%	No
LOC100630923		7q22.1	AMP	4	509	0.8%	No
LINC00536		8q23.3	AMP	4	509	0.8%	No
RNU6-83P		13q32.3	AMP	4	509	0.8%	No
LZTS1-AS1		8p21.3	HOMDEL	4	509	0.8%	No
LOC101241902		8q21.13	AMP	4	509	0.8%	No
LINC00681		8p23.1-p22	HOMDEL	4	509	0.8%	No
CASC9		8q21.13	AMP	4	509	0.8%	No
LOC101926892		8q13.3	AMP	4	509	0.8%	No
LOC101926908		8q21.11	AMP	4	509	0.8%	No
LINC01111		8q21.13	AMP	4	509	0.8%	No
LINC01821		2q32.3	AMP	4	509	0.8%	No
LINC01790		2q32.3	AMP	4	509	0.8%	No
HECW2-AS1		2q32.3	AMP	4	509	0.8%	No
ANKRD44-IT1		2q33.1	AMP	4	509	0.8%	No
LINC01923		2q33.1	AMP	4	509	0.8%	No
LINC01877		2q33.1	AMP	4	509	0.8%	No
LOC101927795		2q33.1	AMP	4	509	0.8%	No
LOC101927914		7q36.3	AMP	4	509	0.8%	No
LINC02114		5p15.32	AMP	4	509	0.8%	No
LOC101929172		8p21.3	HOMDEL	4	509	0.8%	No
CTD-2297D10.2		5p15.32	AMP	4	509	0.8%	No
LINC02149		5p15.1	AMP	4	509	0.8%	No
CTD-2350J17.1		5p15.1	AMP	4	509	0.8%	No
LINC02150		5p15.1	AMP	4	509	0.8%	No
LOC101929524		5p15.1	AMP	4	509	0.8%	No
LINC01377		5p15.33	AMP	4	509	0.8%	No
NAT1		8p22	HOMDEL	3	509	0.6%	No
AADAC		3q25.1	AMP	3	509	0.6%	No
AOC1		7q36.1	AMP	3	509	0.6%	No
ACHE		7q22.1	AMP	3	509	0.6%	No
ACPP		3q22.1	AMP	3	509	0.6%	No
ACTN2		1q43	AMP	3	509	0.6%	No
ADCY8		8q24.22	AMP	3	509	0.6%	No
ADRA1A		8p21.2	HOMDEL	3	509	0.6%	No
ADRB3		8p11.23	HOMDEL	3	509	0.6%	No
AGTR1		3q24	AMP	3	509	0.6%	No
AHR		7p21.1	AMP	3	509	0.6%	No
ANGPT1		8q23.1	AMP	3	509	0.6%	No
ANGPT2		8p23.1	HOMDEL	3	509	0.6%	No
ANXA13		8q24.13	AMP	3	509	0.6%	No
BIRC2		11q22.2	AMP	3	509	0.6%	No
BIRC3		11q22.2	AMP	3	509	0.6%	Yes
ASAH1		8p22	HOMDEL	3	509	0.6%	No
ATP1B3		3q23	AMP	3	509	0.6%	No
ATP6V1C1		8q22.3	AMP	3	509	0.6%	No
KIF1A		2q37.3	AMP	3	509	0.6%	No
BLK		8p23.1	HOMDEL	3	509	0.6%	No
BMPR2		2q33.1-q33.2	AMP	3	509	0.6%	No
FOXL2		3q22.3	AMP	3	509	0.6%	Yes
BRAF		7q34	AMP	3	509	0.6%	Yes
OSGIN2		8q21.3	AMP	3	509	0.6%	No
CA8		8q12.1	AMP	3	509	0.6%	No
CALB1		8q21.3	AMP	3	509	0.6%	No
CAPZA2		7q31.2	AMP	3	509	0.6%	No
CAPZB		1p36.13	HOMDEL	3	509	0.6%	No
CAV1		7q31.2	AMP	3	509	0.6%	No
CAV2		7q31.2	AMP	3	509	0.6%	No
RUNX1T1		8q21.3	AMP	3	509	0.6%	Yes
CBFB		16q22.1	AMP	3	509	0.6%	Yes
KRIT1		7q21.2	AMP	3	509	0.6%	No
CD28		2q33.2	AMP	3	509	0.6%	Yes
CDH9		5p14.1	AMP	3	509	0.6%	No
CDH17		8q22.1	AMP	3	509	0.6%	No
CDH18		5p14.3	AMP	3	509	0.6%	No
CDK5		7q36.1	AMP	3	509	0.6%	No
CDK6		7q21.2	AMP	3	509	0.6%	Yes
CFTR		7q31.2	AMP	3	509	0.6%	No
AP1S1		7q22.1	AMP	3	509	0.6%	No
COL3A1		2q32.2	AMP	3	509	0.6%	No
COL5A2		2q32.2	AMP	3	509	0.6%	No
COX6C		8q22.2	AMP	3	509	0.6%	No
CP		3q24-q25.1	AMP	3	509	0.6%	No
CPA3		3q24	AMP	3	509	0.6%	No
CPB1		3q24	AMP	3	509	0.6%	No
CTLA4		2q33.2	AMP	3	509	0.6%	Yes
CTSB		8p23.1	HOMDEL	3	509	0.6%	No
CYC1		8q24.3	AMP	3	509	0.6%	No
CYP11B1		8q24.3	AMP	3	509	0.6%	No
CYP11B2		8q24.3	AMP	3	509	0.6%	No
ADAM3A		8p11.22	HOMDEL	3	509	0.6%	No
CYP51A1		7q21.2	AMP	3	509	0.6%	No
DGKB		7p21.2	AMP	3	509	0.6%	No
DECR1		8q21.3	AMP	3	509	0.6%	No
DEFA1		8p23.1	HOMDEL	3	509	0.6%	No
DEFA3		8p23.1	HOMDEL	3	509	0.6%	No
DEFA4		8p23.1	HOMDEL	3	509	0.6%	No
DEFA5		8p23.1	HOMDEL	3	509	0.6%	No
DEFA6		8p23.1	HOMDEL	3	509	0.6%	No
DEFB1		8p23.1	HOMDEL	3	509	0.6%	No
DEFB4A		8p23.1	HOMDEL	3	509	0.6%	No
DLST		14q24.3	AMP	3	509	0.6%	No
DLX5		7q21.3	AMP	3	509	0.6%	No
DLX6		7q21.3	AMP	3	509	0.6%	No
DPYS		8q22.3	AMP	3	509	0.6%	No
DPYSL2		8p21.2	HOMDEL	3	509	0.6%	No
EEF1D		8q24.3	AMP	3	509	0.6%	No
EIF4EBP1		8p11.23	HOMDEL	3	509	0.6%	No
EPHB1		3q22.2	AMP	3	509	0.6%	Yes
EPHB4		7q22.1	AMP	3	509	0.6%	Yes
EPO		7q22.1	AMP	3	509	0.6%	No
EXT1		8q24.11	AMP	3	509	0.6%	Yes
EZH2		7q36.1	AMP	3	509	0.6%	Yes
FDFT1		8p23.1	HOMDEL	3	509	0.6%	No
FGF10		5p12	AMP	3	509	0.6%	Yes
FGFR1		8p11.23	HOMDEL	3	509	0.6%	Yes
FGL1		8p22	HOMDEL	3	509	0.6%	No
ADAM2		8p11.22	HOMDEL	3	509	0.6%	No
GATA4		8p23.1	HOMDEL	3	509	0.6%	Yes
GBX1		7q36.1	AMP	3	509	0.6%	No
GEM		8q22.1	AMP	3	509	0.6%	No
GLI4		8q24.3	AMP	3	509	0.6%	No
GML		8q24.3	AMP	3	509	0.6%	No
GNB2		7q22.1	AMP	3	509	0.6%	No
GNG11		7q21.3	AMP	3	509	0.6%	No
GNGT1		7q21.3	AMP	3	509	0.6%	No
GPR22		7q22.3	AMP	3	509	0.6%	No
GPR35		2q37.3	AMP	3	509	0.6%	No
GPT		8q24.3	AMP	3	509	0.6%	No
GRINA		8q24.3	AMP	3	509	0.6%	No
GSR		8p12	HOMDEL	3	509	0.6%	No
GTF2E2		8p12	HOMDEL	3	509	0.6%	No
GYG1		3q24	AMP	3	509	0.6%	No
HAS2		8q24.13	AMP	3	509	0.6%	No
NRG1		8p12	HOMDEL	3	509	0.6%	Yes
AGFG2		7q22.1	AMP	3	509	0.6%	No
HSF1		8q24.3	AMP	3	509	0.6%	No
HTR5A		7q36.2	AMP	3	509	0.6%	No
IKBKB		8p11.21	HOMDEL	3	509	0.6%	Yes
IL6ST		5q11.2	AMP	3	509	0.6%	Yes
IDO1		8p11.21	HOMDEL	3	509	0.6%	No
INPP1		2q32.2	AMP	3	509	0.6%	No
EIF3E		8q23.1	AMP	3	509	0.6%	Yes
ITGAV		2q32.1	AMP	3	509	0.6%	No
KCNH2		7q36.1	AMP	3	509	0.6%	No
KCNQ3		8q24.22	AMP	3	509	0.6%	No
LRCH4		7q22.1	AMP	3	509	0.6%	No
LY6E		8q24.3	AMP	3	509	0.6%	No
LY6H		8q24.3	AMP	3	509	0.6%	No
TM4SF1		3q25.1	AMP	3	509	0.6%	No
MATN2		8q22.1-q22.2	AMP	3	509	0.6%	No
DNAJB9		7q31.1|14q24.2-q24.3	AMP	3	509	0.6%	No
MEOX2		7p21.2	AMP	3	509	0.6%	No
MET		7q31.2	AMP	3	509	0.6%	Yes
MID1		Xp22.2	AMP	3	509	0.6%	No
MME		3q25.2	AMP	3	509	0.6%	No
MMP7		11q22.2	AMP	3	509	0.6%	No
MMP8		11q22.2	AMP	3	509	0.6%	No
MMP16		8q21.3	AMP	3	509	0.6%	No
MSRA		8p23.1	HOMDEL	3	509	0.6%	No
MYC		8q24.21	AMP	3	509	0.6%	Yes
NBN		8q21.3	AMP	3	509	0.6%	Yes
NCK1		3q22.3	AMP	3	509	0.6%	No
NDUFB9		8q24.13	AMP	3	509	0.6%	No
TONSL		8q24.3	AMP	3	509	0.6%	No
NOS3		7q36.1	AMP	3	509	0.6%	No
CCN3		8q24.12	AMP	3	509	0.6%	No
NRCAM		7q31.1	AMP	3	509	0.6%	No
ODF1		8q22.3	AMP	3	509	0.6%	No
TNFRSF11B		8q24.12	AMP	3	509	0.6%	No
SERPINE1		7q22.1	AMP	3	509	0.6%	No
PCCB		3q22.3	AMP	3	509	0.6%	No
PCM1		8p22	HOMDEL	3	509	0.6%	Yes
PCOLCE		7q22.1	AMP	3	509	0.6%	No
PDE7A		8q13.1	AMP	3	509	0.6%	No
PDGFRA		4q12	AMP	3	509	0.6%	Yes
ENPP2		8q24.12	AMP	3	509	0.6%	No
PEX1		7q21.2	AMP	3	509	0.6%	No
PFN2		3q25.1	AMP	3	509	0.6%	No
PIK3CB		3q22.3	AMP	3	509	0.6%	Yes
PLEC		8q24.3	AMP	3	509	0.6%	No
PLOD2		3q24	AMP	3	509	0.6%	No
PLSCR1		3q24	AMP	3	509	0.6%	No
PMS1		2q32.2	AMP	3	509	0.6%	Yes
PMS2P1		7q22.1	AMP	3	509	0.6%	No
POLB		8p11.21	HOMDEL	3	509	0.6%	No
POLH		6p21.1	AMP	3	509	0.6%	No
POLR2J		7q22.1	AMP	3	509	0.6%	No
POLR2K		8q22.2	AMP	3	509	0.6%	No
POU5F1B		8q24.21	AMP	3	509	0.6%	No
PPP2CB		8p12	HOMDEL	3	509	0.6%	No
PPP2R3A		3q22.2-q22.3	AMP	3	509	0.6%	No
PRKCE		2p21	HOMDEL	3	509	0.6%	No
PRRG1		Xp21.1	AMP	3	509	0.6%	No
PTK2		8q24.3	AMP	3	509	0.6%	No
PTX3		3q25.32	AMP	3	509	0.6%	No
PVT1		8q24.21	AMP	3	509	0.6%	No
RAD21		8q24.11	AMP	3	509	0.6%	Yes
RARRES2		7q36.1	AMP	3	509	0.6%	No
RASA2		3q23	AMP	3	509	0.6%	No
RBP1		3q23	AMP	3	509	0.6%	No
RBP2		3q23	AMP	3	509	0.6%	No
RHEB		7q36.1	AMP	3	509	0.6%	Yes
RPL8		8q24.3	AMP	3	509	0.6%	No
RPL30		8q22.2	AMP	3	509	0.6%	No
RPS6KA2		6q27	HOMDEL	3	509	0.6%	No
SDC2		8q22.1	AMP	3	509	0.6%	No
SFRP1		8p11.21	HOMDEL	3	509	0.6%	Yes
SIAH2		3q25.1	AMP	3	509	0.6%	No
ST3GAL1		8q24.22	AMP	3	509	0.6%	No
SLA		8q24.22	AMP	3	509	0.6%	No
SLC4A2		7q36.1	AMP	3	509	0.6%	No
SLC7A2		8p22	HOMDEL	3	509	0.6%	No
SLC20A2		8p11.21	HOMDEL	3	509	0.6%	No
HLTF		3q24	AMP	3	509	0.6%	No
SMARCD3		7q36.1	AMP	3	509	0.6%	No
SNTB1		8q24.12	AMP	3	509	0.6%	No
SPAG1		8q22.2	AMP	3	509	0.6%	No
SQLE		8q24.13	AMP	3	509	0.6%	No
SRP54		14q13.2	AMP	3	509	0.6%	No
SRPK2		7q22.3	AMP	3	509	0.6%	No
SSR3		3q25.31	AMP	3	509	0.6%	No
STAR		8p11.23	HOMDEL	3	509	0.6%	No
STAT1		2q32.2	AMP	3	509	0.6%	Yes
STAT4		2q32.2-q32.3	AMP	3	509	0.6%	Yes
SYPL1		7q22.3	AMP	3	509	0.6%	No
TACC1		8p11.22	HOMDEL	3	509	0.6%	No
TADA2A		17q12	AMP	3	509	0.6%	No
TAF2		8q24.12	AMP	3	509	0.6%	No
TBXAS1		7q34	AMP	3	509	0.6%	No
HNF1B		17q12	AMP	3	509	0.6%	No
TEAD4		12p13.33	AMP	3	509	0.6%	No
